,Unnamed: 0,PROVINCIA,CITY,CPA,ERROR
1289,1289,Buenos-Aires,calles-de-El-Silencio,Buscar CPA,
1293,1293,Buenos-Aires,calles-de-El-Silencio,Buscar CPA,
1304,1304,Buenos-Aires,calles-de-El-Triangulo,Buscar CPA,
1305,1305,Buenos-Aires,calles-de-El-Verano,Buscar CPA,
1317,1317,Buenos-Aires,calles-de-Elias-Romero,Buscar CPA,
1318,1318,Buenos-Aires,calles-de-Elias-Romero,Buscar CPA,
1319,1319,Buenos-Aires,calles-de-Elias-Romero,Buscar CPA,
1320,1320,Buenos-Aires,calles-de-Elias-Romero,Buscar CPA,
1326,1326,Buenos-Aires,calles-de-Elias-Romero,Buscar CPA,
1327,1327,Buenos-Aires,calles-de-Elias-Romero,Buscar CPA,
1328,1328,Buenos-Aires,calles-de-Elias-Romero,Buscar CPA,
1329,1329,Buenos-Aires,calles-de-Elias-Romero,Buscar CPA,
1330,1330,Buenos-Aires,calles-de-Elias-Romero,Buscar CPA,
1331,1331,Buenos-Aires,calles-de-Elias-Romero,Buscar CPA,
1332,1332,Buenos-Aires,calles-de-Elias-Romero,Buscar CPA,
1333,1333,Buenos-Aires,calles-de-Elias-Romero,Buscar CPA,
1334,1334,Buenos-Aires,calles-de-Elias-Romero,Buscar CPA,
1339,1339,Buenos-Aires,calles-de-Elvira,Buscar CPA,
1341,1341,Buenos-Aires,calles-de-Elvira,Buscar CPA,
1348,1348,Buenos-Aires,calles-de-Emilio-Ayerza,Buscar CPA,
1358,1358,Buenos-Aires,calles-de-Emilio-Lamarca,Buscar CPA,
1361,1361,Buenos-Aires,calles-de-Emita,Buscar CPA,
1365,1365,Buenos-Aires,calles-de-Emita,Buscar CPA,
1370,1370,Buenos-Aires,calles-de-Empalme-Querandies,Buscar CPA,
1371,1371,Buenos-Aires,calles-de-Empalme-Querandies,Buscar CPA,
1377,1377,Buenos-Aires,calles-de-Encina,Buscar CPA,
1383,1383,Buenos-Aires,calles-de-Escuela-Agricola-Don-Bosco,Buscar CPA,
1385,1385,Buenos-Aires,calles-de-Escuela-Agricola-Rural,Buscar CPA,
1397,1397,Buenos-Aires,calles-de-Establecimiento-San-Miguel,Buscar CPA,
1398,1398,Buenos-Aires,calles-de-Establecimiento-San-Miguel,Buscar CPA,
1403,1403,Buenos-Aires,calles-de-Estacion-Baradero,Buscar CPA,
1409,1409,Buenos-Aires,calles-de-Estancia-las-Isletas,Buscar CPA,
1410,1410,Buenos-Aires,calles-de-Estancia-Mitikili,Buscar CPA,
1417,1417,Buenos-Aires,calles-de-Estancia-Mitikili,Buscar CPA,
